Zip Code,Population,County,Country
91203,14493,Los Angeles,California
91204,17015,Los Angeles,California
91205,41390,Los Angeles,California
91206,31297,Los Angeles,California
91207,9864,Los Angeles,California
91208,16910,Los Angeles,California
91214,29110,Los Angeles,California
91301,25303,Los Angeles,California
91302,23661,Los Angeles,California
91303,23519,Los Angeles,California
91304,49242,Los Angeles,California
91306,43857,Los Angeles,California
91307,23637,Los Angeles,California
91311,35325,Los Angeles,California
91316,27614,Los Angeles,California
91320,37779,Ventura,California
91321,30742,Los Angeles,California
91324,25751,Los Angeles,California
91325,32307,Los Angeles,California
91326,28067,Los Angeles,California
91331,97318,Los Angeles,California
91335,68018,Los Angeles,California
91340,33389,Los Angeles,California
91342,81986,Los Angeles,California
91343,57017,Los Angeles,California
91344,48867,Los Angeles,California
91345,17112,Los Angeles,California
91350,40077,Los Angeles,California
91351,59259,Los Angeles,California
91352,46639,Los Angeles,California
91354,17846,Los Angeles,California
91355,24977,Los Angeles,California
91356,27424,Los Angeles,California
91360,42526,Ventura,California
91361,18735,Ventura,California
91362,33057,Ventura,California
91364,25988,Los Angeles,California
91367,36123,Los Angeles,California
91377,14814,Ventura,California
91381,9937,Los Angeles,California
91384,22177,Los Angeles,California
91401,40376,Los Angeles,California
91402,66249,Los Angeles,California
91403,22085,Los Angeles,California
91405,51348,Los Angeles,California
91406,50047,Los Angeles,California
91411,23646,Los Angeles,California
91423,29387,Los Angeles,California
91436,13129,Los Angeles,California
91501,18112,Los Angeles,California
91502,11517,Los Angeles,California
91504,25882,Los Angeles,California
91505,29245,Los Angeles,California
91506,18539,Los Angeles,California
91601,36625,Los Angeles,California
91602,16996,Los Angeles,California
91604,26157,Los Angeles,California
91605,57146,Los Angeles,California
91606,45358,Los Angeles,California
91607,27453,Los Angeles,California
91701,39064,San Bernardino,California
91702,57775,Los Angeles,California
91706,76890,Los Angeles,California
91709,66754,San Bernardino,California
91710,75319,San Bernardino,California
91711,34716,Los Angeles,California
91722,33817,Los Angeles,California
91723,17554,Los Angeles,California
91724,25068,Los Angeles,California
91730,51970,San Bernardino,California
91731,30211,Los Angeles,California
91732,62660,Los Angeles,California
91733,45645,Los Angeles,California
91737,23079,San Bernardino,California
91739,12937,San Bernardino,California
91740,25135,Los Angeles,California
91741,24973,Los Angeles,California
91743,13,San Bernardino,California
91744,84965,Los Angeles,California
91745,53686,Los Angeles,California
91746,30802,Los Angeles,California
91748,46342,Los Angeles,California
91750,35530,Los Angeles,California
91752,18980,Riverside,California
91754,33280,Los Angeles,California
91755,26933,Los Angeles,California
91759,47,San Bernardino,California
91761,56280,San Bernardino,California
91762,54254,San Bernardino,California
91763,34447,San Bernardino,California
91764,49474,San Bernardino,California
91765,46532,Los Angeles,California
91766,69974,Los Angeles,California
91767,46626,Los Angeles,California
91768,36057,Los Angeles,California
91770,61623,Los Angeles,California
91773,33878,Los Angeles,California
91775,23444,Los Angeles,California
91776,38041,Los Angeles,California
91780,32718,Los Angeles,California
91784,23331,San Bernardino,California
91786,48827,San Bernardino,California
91789,45118,Los Angeles,California
91790,44099,Los Angeles,California
91791,30458,Los Angeles,California
91792,31622,Los Angeles,California
91801,54382,Los Angeles,California
91803,30635,Los Angeles,California
91901,16486,San Diego,California
91902,17389,San Diego,California
91905,1509,San Diego,California
91906,3133,San Diego,California
91910,74025,San Diego,California
91911,71126,San Diego,California
91913,12884,San Diego,California
91914,2606,San Diego,California
91915,9278,San Diego,California
91916,1587,San Diego,California
91917,727,San Diego,California
91931,796,San Diego,California
91932,26662,San Diego,California
91934,699,San Diego,California
91935,8759,San Diego,California
91941,44652,San Diego,California
91942,24005,San Diego,California
91945,24961,San Diego,California
91948,81,San Diego,California
91950,62355,San Diego,California
91962,1604,San Diego,California
91963,905,San Diego,California
91977,56100,San Diego,California
91978,7863,San Diego,California
91980,91,San Diego,California
92003,3849,San Diego,California
92004,2863,San Diego,California
92007,10375,San Diego,California
92008,35582,San Diego,California
92009,43161,San Diego,California
92014,13945,San Diego,California
92019,40995,San Diego,California
92020,55277,San Diego,California
92021,61872,San Diego,California
92024,47126,San Diego,California
92025,49281,San Diego,California
92026,43436,San Diego,California
92027,48690,San Diego,California
92028,42239,San Diego,California
92029,17944,San Diego,California
92036,3577,San Diego,California
92037,42617,San Diego,California
92040,42277,San Diego,California
92054,98239,San Diego,California
92056,52895,San Diego,California
92057,46893,San Diego,California
92059,1831,San Diego,California
92060,234,San Diego,California
92061,2615,San Diego,California
92064,47969,San Diego,California
92065,33104,San Diego,California
92066,339,San Diego,California
92067,7615,San Diego,California
92069,52664,San Diego,California
92070,1143,San Diego,California
92071,53510,San Diego,California
92075,12173,San Diego,California
92078,6760,San Diego,California
92082,14575,San Diego,California
92083,62036,San Diego,California
92084,44692,San Diego,California
92086,1205,San Diego,California
92091,1072,San Diego,California
92101,27505,San Diego,California
92102,47140,San Diego,California
92103,30202,San Diego,California
92104,47689,San Diego,California
92105,73006,San Diego,California
92106,18525,San Diego,California
92107,27959,San Diego,California
92108,11650,San Diego,California
92109,46086,San Diego,California
92110,24169,San Diego,California
92111,46828,San Diego,California
92113,47431,San Diego,California
92114,66838,San Diego,California
92115,56887,San Diego,California
92116,33083,San Diego,California
92117,51213,San Diego,California
92118,24093,San Diego,California
92119,21866,San Diego,California
92120,25569,San Diego,California
92121,4258,San Diego,California
92122,34902,San Diego,California
92123,25232,San Diego,California
92124,30206,San Diego,California
92126,74232,San Diego,California
92127,20046,San Diego,California
92128,42733,San Diego,California
92129,47224,San Diego,California
92130,28201,San Diego,California
92131,29283,San Diego,California
92139,36351,San Diego,California
92154,68776,San Diego,California
92173,28488,San Diego,California
92201,56307,Riverside,California
92203,2743,Riverside,California
92210,3873,Riverside,California
92211,19702,Riverside,California
92220,25859,Riverside,California
92223,17721,Riverside,California
92225,24659,Riverside,California
92227,23394,Imperial,California
92230,2355,Riverside,California
92231,27804,Imperial,California
92233,7857,Imperial,California
92234,43141,Riverside,California
92236,23170,Riverside,California
92239,964,Riverside,California
92240,22796,Riverside,California
92241,5529,Riverside,California
92242,1564,San Bernardino,California
92243,43712,Imperial,California
92249,3535,Imperial,California
92250,8062,Imperial,California
92251,14546,Imperial,California
92252,8141,San Bernardino,California
92253,23971,Riverside,California
92254,8768,Riverside,California
92256,3499,San Bernardino,California
92257,2753,Imperial,California
92258,732,Riverside,California
92259,471,Imperial,California
92260,29340,Riverside,California
92262,24924,Riverside,California
92264,18884,Riverside,California
92266,291,Imperial,California
92267,131,San Bernardino,California
92268,354,San Bernardino,California
92270,12465,Riverside,California
92273,1632,Imperial,California
92274,17018,Riverside,California
92275,799,Imperial,California
92276,6242,Riverside,California
92277,17178,San Bernardino,California
92278,14104,San Bernardino,California
92280,50,San Bernardino,California
92281,2388,Imperial,California
92282,805,Riverside,California
92283,3663,Imperial,California
92284,20486,San Bernardino,California
92285,2182,San Bernardino,California
92301,18980,San Bernardino,California
92304,42,San Bernardino,California
92305,301,San Bernardino,California
92307,31876,San Bernardino,California
92308,28819,San Bernardino,California
92309,904,San Bernardino,California
92310,9465,San Bernardino,California
92311,31293,San Bernardino,California
92313,11024,San Bernardino,California
92314,9899,San Bernardino,California
92315,5447,San Bernardino,California
92316,25995,San Bernardino,California
92317,2150,San Bernardino,California
92318,227,San Bernardino,California
92320,7334,Riverside,California
92321,455,San Bernardino,California
92323,40,San Bernardino,California
92324,52202,San Bernardino,California
92325,10484,San Bernardino,California
92327,678,San Bernardino,California
92328,443,Inyo,California
92332,115,San Bernardino,California
92333,414,San Bernardino,California
92335,82630,San Bernardino,California
92336,54586,San Bernardino,California
92337,29847,San Bernardino,California
92338,23,San Bernardino,California
92339,958,San Bernardino,California
92341,317,San Bernardino,California
92342,4948,San Bernardino,California
92345,68515,San Bernardino,California
92346,48245,San Bernardino,California
92347,1933,San Bernardino,California
92352,9793,San Bernardino,California
92354,18068,San Bernardino,California
92356,5256,San Bernardino,California
92358,1090,San Bernardino,California
92359,7324,San Bernardino,California
92363,5488,San Bernardino,California
92364,162,San Bernardino,California
92365,2899,San Bernardino,California
92368,909,San Bernardino,California
92371,12463,San Bernardino,California
92372,4280,San Bernardino,California
92373,31230,San Bernardino,California
92374,36675,San Bernardino,California
92376,75882,San Bernardino,California
92377,18518,San Bernardino,California
92382,5395,San Bernardino,California
92384,87,Inyo,California
92386,1834,San Bernardino,California
92389,117,Inyo,California
92392,63235,San Bernardino,California
92394,12083,San Bernardino,California
92397,4253,San Bernardino,California
92398,1195,San Bernardino,California
92399,41575,San Bernardino,California
92401,1779,San Bernardino,California
92404,53636,San Bernardino,California
92405,24644,San Bernardino,California
92407,49355,San Bernardino,California
92408,12149,San Bernardino,California
92410,44556,San Bernardino,California
92411,23146,San Bernardino,California
92501,18999,Riverside,California
92503,71678,Riverside,California
92504,46550,Riverside,California
92505,38446,Riverside,California
92506,42425,Riverside,California
92507,48649,Riverside,California
92508,17147,Riverside,California
92509,63999,Riverside,California
92518,1005,Riverside,California
92530,38519,Riverside,California
92532,4546,Riverside,California
92536,2433,Riverside,California
92539,3745,Riverside,California
92543,29687,Riverside,California
92544,39264,Riverside,California
92545,25694,Riverside,California
92548,4283,Riverside,California
92549,3588,Riverside,California
92551,22983,Riverside,California
92553,61205,Riverside,California
92555,12743,Riverside,California
92557,46214,Riverside,California
92561,1500,Riverside,California
92562,36149,Riverside,California
92563,18311,Riverside,California
92567,7344,Riverside,California
92570,36817,Riverside,California
92571,26357,Riverside,California
92582,4456,Riverside,California
92583,21349,Riverside,California
92584,14068,Riverside,California
92585,8692,Riverside,California
92586,18161,Riverside,California
92587,13151,Riverside,California
92590,3070,Riverside,California
92591,25655,Riverside,California
92592,46171,Riverside,California
92595,19368,Riverside,California
92596,4093,Riverside,California
92602,2762,Orange,California
92604,27369,Orange,California
92606,17621,Orange,California
92610,10936,Orange,California
92612,41062,Orange,California
92614,22499,Orange,California
92618,6301,Orange,California
92620,26419,Orange,California
92624,7465,Orange,California
92625,13422,Orange,California
92626,48207,Orange,California
92627,62069,Orange,California
92629,27730,Orange,California
92630,59176,Orange,California
92646,56517,Orange,California
92647,58764,Orange,California
92648,42663,Orange,California
92649,32304,Orange,California
92651,25206,Orange,California
92653,48273,Orange,California
92655,8660,Orange,California
92656,41237,Orange,California
92657,5597,Orange,California
92660,28687,Orange,California
92661,4242,Orange,California
92662,3124,Orange,California
92663,22133,Orange,California
92672,34946,Orange,California
92673,15297,Orange,California
92675,34321,Orange,California
92676,1859,Orange,California
92677,62103,Orange,California
92679,32268,Orange,California
92683,88230,Orange,California
92688,42193,Orange,California
92691,46371,Orange,California
92692,46227,Orange,California
92694,350,Orange,California
92701,58157,Orange,California
92703,70011,Orange,California
92704,91188,Orange,California
92705,44117,Orange,California
92706,37879,Orange,California
92707,62634,Orange,California
92708,54548,Orange,California
92780,55062,Orange,California
92782,17494,Orange,California
92801,60553,Orange,California
92802,45086,Orange,California
92804,81333,Orange,California
92805,68802,Orange,California
92806,34398,Orange,California
92807,36301,Orange,California
92808,19629,Orange,California
92821,34055,Orange,California
92823,1408,Orange,California
92831,34592,Orange,California
92832,24502,Orange,California
92833,46105,Orange,California
92835,21157,Orange,California
92840,50641,Orange,California
92841,31428,Orange,California
92843,43491,Orange,California
92844,23481,Orange,California
92845,15878,Orange,California
92860,22443,Riverside,California
92861,5935,Orange,California
92865,18058,Orange,California
92866,15396,Orange,California
92867,40915,Orange,California
92868,23172,Orange,California
92869,37916,Orange,California
92870,48170,Orange,California
92879,44875,Riverside,California
92880,16998,Riverside,California
92881,21911,Riverside,California
92882,60294,Riverside,California
92883,13188,Riverside,California
92886,39458,Orange,California
92887,20893,Orange,California
93001,32899,Ventura,California
93003,46894,Ventura,California
93004,27381,Ventura,California
93010,42853,Ventura,California
93012,24945,Ventura,California
93013,17409,Santa Barbara,California
93015,16013,Ventura,California
93021,32984,Ventura,California
93022,6503,Ventura,California
93023,21633,Ventura,California
93030,79736,Ventura,California
93033,77791,Ventura,California
93035,25322,Ventura,California
93040,1459,Ventura,California
93041,25634,Ventura,California
93060,32511,Ventura,California
93063,49027,Ventura,California
93065,64802,Ventura,California
93066,2966,Ventura,California
93067,576,Santa Barbara,California
93101,31727,Santa Barbara,California
93103,20893,Santa Barbara,California
93105,25771,Santa Barbara,California
93108,12741,Santa Barbara,California
93109,10986,Santa Barbara,California
93110,15757,Santa Barbara,California
93111,16477,Santa Barbara,California
93117,49975,Santa Barbara,California
93201,1054,Tulare,California
93202,2872,Kings,California
93203,16206,Kern,California
93204,14697,Kings,California
93205,1954,Kern,California
93206,2078,Kern,California
93207,226,Tulare,California
93208,191,Tulare,California
93210,18036,Fresno,California
93212,23506,Kings,California
93215,37280,Kern,California
93216,4425,Kern,California
93218,823,Tulare,California
93219,9318,Tulare,California
93221,13333,Tulare,California
93222,1526,Kern,California
93223,8644,Tulare,California
93224,626,Kern,California
93225,4498,Kern,California
93226,296,Kern,California
93230,53204,Kings,California
93234,6918,Fresno,California
93235,4517,Tulare,California
93238,1873,Kern,California
93239,1809,Kings,California
93240,5564,Kern,California
93241,15364,Kern,California
93242,2900,Fresno,California
93243,1247,Kern,California
93244,293,Tulare,California
93245,30419,Kings,California
93247,15508,Tulare,California
93249,2502,Kern,California
93250,10781,Kern,California
93251,302,Kern,California
93252,4357,Kern,California
93254,798,Santa Barbara,California
93255,655,Kern,California
93256,4198,Tulare,California
93257,65566,Tulare,California
93260,266,Tulare,California
93261,2956,Tulare,California
93262,56,Tulare,California
93263,15177,Kern,California
93265,3546,Tulare,California
93266,1729,Kings,California
93267,5689,Tulare,California
93268,14937,Kern,California
93270,5868,Tulare,California
93271,2318,Tulare,California
93272,2951,Tulare,California
93274,56101,Tulare,California
93276,236,Kern,California
93277,44741,Tulare,California
93280,22760,Kern,California
93282,63,Tulare,California
93283,1935,Kern,California
93285,2515,Kern,California
93286,8870,Tulare,California
93287,88,Kern,California
93291,36718,Tulare,California
93292,30395,Tulare,California
93301,12963,Kern,California
93304,44588,Kern,California
93305,35643,Kern,California
93306,53481,Kern,California
93307,59195,Kern,California
93308,44915,Kern,California
93309,58632,Kern,California
93311,20440,Kern,California
93312,40836,Kern,California
93313,25126,Kern,California
93401,27047,San Luis Obispo,California
93402,14859,San Luis Obispo,California
93405,31982,San Luis Obispo,California
93420,24499,San Luis Obispo,California
93422,29539,San Luis Obispo,California
93424,812,San Luis Obispo,California
93426,1363,Monterey,California
93427,4644,Santa Barbara,California
93428,6526,San Luis Obispo,California
93429,210,Santa Barbara,California
93430,3220,San Luis Obispo,California
93432,1203,San Luis Obispo,California
93433,13106,San Luis Obispo,California
93434,5726,Santa Barbara,California
93435,28,San Luis Obispo,California
93436,51737,Santa Barbara,California
93437,6165,Santa Barbara,California
93440,1328,Santa Barbara,California
93441,1317,Santa Barbara,California
93442,10909,San Luis Obispo,California
93444,15405,San Luis Obispo,California
93445,7435,San Luis Obispo,California
93446,35586,San Luis Obispo,California
93447,804,San Luis Obispo,California
93449,8564,San Luis Obispo,California
93450,670,Monterey,California
93451,2666,San Luis Obispo,California
93452,471,San Luis Obispo,California
93453,2687,San Luis Obispo,California
93454,30540,Santa Barbara,California
93455,37364,Santa Barbara,California
93458,43684,Santa Barbara,California
93460,5710,Santa Barbara,California
93461,1255,San Luis Obispo,California
93463,7958,Santa Barbara,California
93465,7918,San Luis Obispo,California
93501,4882,Kern,California
93505,8316,Kern,California
93510,7831,Los Angeles,California
93512,340,Mono,California
93513,1826,Inyo,California
93514,13309,Inyo,California
93516,2241,Kern,California
93517,826,Mono,California
93518,1022,Kern,California
93522,64,Inyo,California
93523,7685,Kern,California
93526,734,Inyo,California
93527,2213,Kern,California
93528,207,Kern,California
93529,618,Mono,California
93530,71,Inyo,California
93531,1436,Kern,California
93532,2771,Los Angeles,California
93534,35109,Los Angeles,California
93535,57794,Los Angeles,California
93536,49309,Los Angeles,California
93541,504,Mono,California
93543,11198,Los Angeles,California
93544,1220,Los Angeles,California
93545,1910,Inyo,California
93546,8217,Mono,California
93549,318,Inyo,California
93550,67232,Los Angeles,California
93551,34045,Los Angeles,California
93552,25370,Los Angeles,California
93553,1613,Los Angeles,California
93554,117,Kern,California
93555,29782,Kern,California
93560,14931,Kern,California
93561,25805,Kern,California
93562,1991,San Bernardino,California
93563,413,Los Angeles,California
93591,6787,Los Angeles,California
93601,1968,Madera,California
93602,3464,Fresno,California
93603,273,Tulare,California
93604,613,Madera,California
93605,273,Fresno,California
93606,807,Fresno,California
93608,1766,Fresno,California
93609,5446,Fresno,California
93610,19391,Madera,California
93611,46858,Fresno,California
93612,33856,Fresno,California
93614,9395,Madera,California
93615,5519,Tulare,California
93616,1965,Fresno,California
93618,24206,Tulare,California
93620,9388,Merced,California
93621,506,Fresno,California
93622,9491,Fresno,California
93623,77,Mariposa,California
93624,1852,Fresno,California
93625,5635,Fresno,California
93626,1125,Fresno,California
93627,152,Fresno,California
93628,93,Fresno,California
93630,14062,Fresno,California
93631,14088,Fresno,California
93634,52,Fresno,California
93635,29124,Merced,California
93637,28434,Madera,California
93638,49247,Madera,California
93640,9174,Fresno,California
93641,571,Fresno,California
93643,3376,Madera,California
93644,8521,Madera,California
93645,173,Madera,California
93646,8449,Fresno,California
93647,9780,Tulare,California
93648,12587,Fresno,California
93650,3258,Fresno,California
93651,1314,Fresno,California
93652,265,Fresno,California
93653,972,Madera,California
93654,25923,Fresno,California
93656,5729,Fresno,California
93657,28991,Fresno,California
93660,4318,Fresno,California
93662,26213,Fresno,California
93664,642,Fresno,California
93665,343,Merced,California
93666,306,Tulare,California
93667,2633,Fresno,California
93668,1130,Fresno,California
93669,327,Madera,California
93673,646,Tulare,California
93675,3146,Fresno,California
93701,13858,Fresno,California
93702,47999,Fresno,California
93703,31180,Fresno,California
93704,26580,Fresno,California
93705,35451,Fresno,California
93706,35790,Fresno,California
93710,29337,Fresno,California
93711,36274,Fresno,California
93720,45087,Fresno,California
93721,6848,Fresno,California
93722,60889,Fresno,California
93725,21010,Fresno,California
93726,39148,Fresno,California
93727,54701,Fresno,California
93728,16346,Fresno,California
93901,35739,Monterey,California
93905,58548,Monterey,California
93906,53946,Monterey,California
93907,22292,Monterey,California
93908,13027,Monterey,California
93920,1006,Monterey,California
93921,2966,Monterey,California
93923,13121,Monterey,California
93924,6691,Monterey,California
93925,1140,Monterey,California
93926,9023,Monterey,California
93927,14204,Monterey,California
93928,254,Monterey,California
93930,14477,Monterey,California
93932,538,Monterey,California
93933,21759,Monterey,California
93940,32857,Monterey,California
93950,15449,Monterey,California
93953,4602,Monterey,California
93954,521,Monterey,California
93955,38244,Monterey,California
93960,13003,Monterey,California
93962,407,Monterey,California
94002,25566,San Mateo,California
94005,3635,San Mateo,California
94010,40346,San Mateo,California
94014,47453,San Mateo,California
94015,63337,San Mateo,California
94019,17929,San Mateo,California
94020,1622,San Mateo,California
94021,148,San Mateo,California
94022,18486,Santa Clara,California
94024,21496,Santa Clara,California
94025,39062,San Mateo,California
94027,6876,San Mateo,California
94028,6601,San Mateo,California
94030,20350,San Mateo,California
94037,2346,San Mateo,California
94038,3064,San Mateo,California
94040,32143,Santa Clara,California
94041,13483,Santa Clara,California
94043,27822,Santa Clara,California
94044,38885,San Mateo,California
94060,2055,San Mateo,California
94061,35737,San Mateo,California
94062,25569,San Mateo,California
94063,32368,San Mateo,California
94065,10658,San Mateo,California
94066,39566,San Mateo,California
94070,28098,San Mateo,California
94074,291,San Mateo,California
94080,60599,San Mateo,California
94086,64010,Santa Clara,California
94087,50070,Santa Clara,California
94089,16985,Santa Clara,California
94102,28998,San Francisco,California
94103,23036,San Francisco,California
94104,384,San Francisco,California
94105,2066,San Francisco,California
94107,17372,San Francisco,California
94108,13723,San Francisco,California
94109,56330,San Francisco,California
94110,74641,San Francisco,California
94111,3337,San Francisco,California
94112,73117,San Francisco,California
94114,30587,San Francisco,California
94115,33122,San Francisco,California
94116,42959,San Francisco,California
94117,38756,San Francisco,California
94118,38955,San Francisco,California
94121,42476,San Francisco,California
94122,55504,San Francisco,California
94123,22920,San Francisco,California
94124,33177,San Francisco,California
94127,20643,San Francisco,California
94129,2240,San Francisco,California
94130,1458,San Francisco,California
94131,27906,San Francisco,California
94132,26297,San Francisco,California
94133,26831,San Francisco,California
94134,40137,San Francisco,California
94301,16198,Santa Clara,California
94303,45499,Santa Clara,California
94304,1723,Santa Clara,California
94305,13386,Santa Clara,California
94306,24492,Santa Clara,California
94401,32488,San Mateo,California
94402,23393,San Mateo,California
94403,37926,San Mateo,California
94404,31882,San Mateo,California
94501,58555,Alameda,California
94502,13996,Alameda,California
94506,19777,Contra Costa,California
94507,15187,Contra Costa,California
94508,3641,Napa,California
94509,90891,Contra Costa,California
94510,25578,Solano,California
94511,2379,Contra Costa,California
94512,138,Solano,California
94513,26577,Contra Costa,California
94514,10153,Contra Costa,California
94515,7384,Napa,California
94517,14239,Contra Costa,California
94518,27394,Contra Costa,California
94519,18650,Contra Costa,California
94520,36186,Contra Costa,California
94521,39888,Contra Costa,California
94523,32685,Contra Costa,California
94525,3193,Contra Costa,California
94526,32873,Contra Costa,California
94530,23141,Contra Costa,California
94533,77683,Solano,California
94535,9978,Solano,California
94536,66543,Alameda,California
94538,56126,Alameda,California
94539,46917,Alameda,California
94541,60274,Alameda,California
94542,11147,Alameda,California
94544,72993,Alameda,California
94545,27311,Alameda,California
94546,41698,Alameda,California
94547,22479,Contra Costa,California
94549,23996,Contra Costa,California
94550,75929,Alameda,California
94552,13212,Alameda,California
94553,46677,Contra Costa,California
94555,33883,Alameda,California
94556,16510,Contra Costa,California
94558,63947,Napa,California
94559,26894,Napa,California
94560,42491,Alameda,California
94561,27607,Contra Costa,California
94563,17964,Contra Costa,California
94564,16717,Contra Costa,California
94565,78816,Contra Costa,California
94566,36669,Alameda,California
94567,494,Napa,California
94568,29636,Alameda,California
94569,173,Contra Costa,California
94571,5246,Solano,California
94572,8506,Contra Costa,California
94574,9423,Napa,California
94576,223,Napa,California
94577,41871,Alameda,California
94578,36568,Alameda,California
94579,19815,Alameda,California
94580,26240,Alameda,California
94583,44078,Contra Costa,California
94585,39279,Solano,California
94586,790,Alameda,California
94587,66472,Alameda,California
94588,28568,Alameda,California
94589,42209,Solano,California
94590,37218,Solano,California
94591,51665,Solano,California
94592,159,Solano,California
94595,18024,Contra Costa,California
94596,40917,Contra Costa,California
94598,26022,Contra Costa,California
94599,2873,Napa,California
